Agents,X_DIM,Y_DIM,TRIAL_NO,REWARD,NORMALIZED_REWARD,DONE_RATIO,STEPS,ACTION_PROB
10,25,25,74,-682.1666666666626,-1.1967836257309872,100.0,537,[0.60159363 0.02191235 0.24003984 0.03486056 0.10159363]
5,45,45,75,-320.4999999999967,-0.3621468926553635,100.0,345,[0.23893805 0.06489676 0.63716814 0.05309735 0.00589971]
9,45,45,76,-460.0,-0.5174353205849269,100.0,437,[0.3229572  0.04474708 0.55252918 0.05836576 0.02140078]
10,35,35,77,-603.3333333333351,-0.8264840182648425,100.0,432,[0.22660099 0.05747126 0.55500821 0.07060755 0.09031199]
5,45,45,78,-303.9999999999996,-0.3435028248587566,100.0,386,[0.39039039 0.07207207 0.44744745 0.07207207 0.01801802]
5,30,30,79,-595.9166666666629,-0.9239018087855239,100.0,513,[0.35590278 0.0625     0.46875    0.07118056 0.04166667]
5,25,25,80,-247.08333333333385,-0.43731563421829,100.0,243,[0.58309859 0.03098592 0.33239437 0.05352113 0.        ]
5,35,35,81,-332.75,-0.4589655172413793,100.0,143,[0.3125   0.046875 0.5375   0.084375 0.01875 ]
10,25,25,82,-467.9166666666632,-0.8209064327485319,100.0,206,[0.39240506 0.04360056 0.32067511 0.06329114 0.18002813]
8,30,30,83,-547.0833333333306,-0.8442644032921769,100.0,265,[0.11524164 0.05390335 0.62639405 0.06877323 0.13568773]
8,25,25,84,-426.08333333333127,-0.7501467136150198,100.0,329,[0.38953488 0.02325581 0.23982558 0.03052326 0.31686047]
10,25,25,85,-667.5000000000082,-1.1710526315789618,100.0,521,[0.25       0.02950311 0.41614907 0.04813665 0.25621118]
5,45,45,86,-448.7500000000003,-0.5070621468926557,100.0,595,[0.45054945 0.03479853 0.33882784 0.03296703 0.14285714]
5,25,25,87,-151.33333333333297,-0.2678466076696159,100.0,155,[0.36714976 0.0531401  0.50241546 0.07246377 0.00483092]
6,45,45,88,-480.9166666666601,-0.5427953348382168,100.0,361,[0.24493554 0.06813996 0.4825046  0.05709024 0.14732965]
7,35,35,89,-389.41666666666566,-0.5356487849610256,100.0,234,[0.26407767 0.04660194 0.45242718 0.06213592 0.17475728]
7,45,45,90,-682.2499999999959,-0.7691657271702321,100.0,593,[0.29115854 0.05335366 0.60365854 0.04878049 0.00304878]
7,45,45,91,-773.0000000000064,-0.8714768883878313,100.0,409,[0.39232673 0.03217822 0.48514851 0.04950495 0.04084158]
7,30,30,92,-441.0833333333294,-0.6817362184440949,100.0,255,[0.28366248 0.06283662 0.47935368 0.05745063 0.11669659]
7,45,45,93,-719.2500000000008,-0.8108793686584,100.0,574,[0.3625 0.0425 0.5075 0.04   0.0475]
6,40,40,94,-554.2500000000023,-0.6876550868486381,100.0,300,[0.32807018 0.04561404 0.53333333 0.06140351 0.03157895]
8,30,30,95,-655.750000000004,-1.011959876543216,100.0,473,[0.4190372  0.04704595 0.29321663 0.04485777 0.19584245]
6,25,25,96,-239.50000000000114,-0.42314487632509035,100.0,189,[0.30935252 0.04676259 0.53956835 0.06834532 0.03597122]
8,35,35,97,-520.999999999998,-0.7156593406593379,100.0,198,[0.41634981 0.04752852 0.46197719 0.05893536 0.01520913]
